4,1094.5,11,4422.293606,4476.488563,-52.8,107
4,1133.5,12,4431.000723,4531.328095,39,108
1,1136.3,1,4407.755572,4422.293606,2.8,109
1,1205.3,2,4396.134388,4431.000723,69,110
1,1110,3,4385.809044,4407.755572,-95.3,111
2,1220.1,4,4376.325412,4396.134388,110.1,112
2,1231.6,5,4329.050562,4385.809044,11.5,113
2,1165.6,6,4324.892915,4376.325412,-66,114
3,1312.5,7,4371.453167,4329.050562,146.9,115
3,1343.1,8,4358.428283,4324.892915,30.6,116
3,1660.7,9,4335.413746,4371.453167,317.6,117
4,1203.5,10,4388.131728,4358.428283,-457.2,118
4,1143.3,11,4310.844528,4335.413746,-60.2,119
4,1199.5,12,4327.537553,4388.131728,56.2,120
1,1206.7,1,4337.8366,4310.844528,7.2,121
1,1228.4,2,4339.739405,4327.537553,21.7,122
1,1199.3,3,4324.045752,4337.8366,-29.1,123
2,1278.9,4,4322.763282,4339.739405,79.6,124
2,1194.8,5,4338.978638,4324.045752,-84.1,125
2,1260.6,6,4302.989863,4322.763282,65.8,126
3,1379.7,7,4344.146614,4338.978638,119.1,127
3,1382.2,8,4337.344867,4302.989863,2.5,128
3,1817.1,9,4274.622924,4344.146614,434.9,129
4,1292.7,10,4351.725395,4337.344867,-524.4,130
4,1190.4,11,4300.883695,4274.622924,-102.3,131
4,1346.6,12,4281.191044,4351.725395,156.2,132
1,1274.5,1,4328.59212,4300.883695,-72.1,133
1,1324.2,2,4292.590731,4281.191044,49.7,134
1,1308.6,3,4311.848464,4328.59212,-15.6,135
2,1345.9,4,4324.17369,4292.590731,37.3,136
2,1300.5,5,4341.756672,4311.848464,-45.4,137
2,1366.1,6,4290.1834,4324.17369,65.6,138
3,1438,7,4365.380281,4341.756672,71.9,139
3,1532.2,8,4374.479773,4290.1834,94.2,140
3,2011.8,9,4362.253821,4365.380281,479.6,141
4,1373.4,10,4423.882099,4374.479773,-638.4,142
4,1325.1,11,4361.930787,4362.253821,-48.3,143
4,1451.4,12,4376.197577,4423.882099,126.3,144
1,1334.8,1,4403.896893,4361.930787,-116.6,145
1,1443.6,2,4415.772749,4376.197577,108.8,146
1,1456,3,4424.934256,4403.896893,12.4,147
2,1427.8,4,4440.402581,4415.772749,-28.2,148
2,1503.1,5,4487.272377,4424.934256,75.3,149
2,1475.2,6,4437.095058,4440.402581,-27.9,150
3,1508.7,7,4504.719769,4487.272377,33.5,151
3,1616.5,8,4508.850016,4437.095058,107.8,152
3,2058.9,9,4487.13385,4504.719769,442.4,153
4,1463.9,10,4570.745595,4508.850016,-595,154
4,1373.3,11,4497.475295,4487.13385,-90.6,155
4,1533.7,12,4546.480856,4570.745595,160.4,156
1,1420.6,1,4551.383615,4497.475295,-113.1,157
1,1576.3,2,4575.844583,4546.480856,155.7,158
1,1607.5,3,4555.622427,4551.383615,31.2,159
2,1545.7,4,4568.473724,4575.844583,-61.8,160
2,1550.8,5,4585.1749,4555.622427,5.1,161
2,1583,6,4566.190498,4568.473724,32.2,162
3,1622.6,7,4629.3053,4585.1749,39.6,163
3,1705.5,8,4591.592979,4566.190498,82.9,164
