1,47.14933152,366835.9,1
1,44.18757007,366884.5,2
1,45.52513975,366933.1,3
2,47.86588671,366981.7,4
2,48.39136051,366717,5
2,46.33723564,366452.3,6
3,48.20027913,366187.6,7
3,45.66845079,365427.3,8
3,50.44548539,364666.9,9
4,54.74481653,363906.6,10
4,49.2034564,363991,11
4,67.45172858,364075.3,12
1,47.24487221,364159.7,1
1,41.9423638,364349.7,2
1,48.00919775,364539.7,3
2,48.77352328,364729.7,4
2,45.95507287,364982.2,5
2,48.91683432,365234.7,6
3,49.53784882,365487.2,7
3,45.81176183,366405,8
3,51.73528474,367322.8,9
4,53.83717996,368240.6,10
4,50.63656678,369547.4,11
4,67.92943204,370854.3,12
1,47.38818325,372161.1,1
1,42.46783761,372884.4,2
1,48.77352328,373607.7,3
2,47.38818325,374331,4
2,47.91365705,375427.9,5
2,48.24804948,376524.7,6
3,48.77352328,377621.6,7
3,47.86588671,378320.7,8
3,53.64609858,379019.9,9
4,53.31170615,379719,10
4,50.44548539,380248.1,11
4,69.79247553,380777.2,12
1,49.53945848,381306.3,1
1,46.08321719,381507.3,2
1,53.32486561,381708.2,3
2,49.78633286,381909.2,4
2,51.02070475,382140.4,5
2,50.52695599,382371.7,6
3,49.86862432,382602.9,7
3,48.71654389,383322.3,8
3,51.34987058,384041.8,9
4,48.96341826,384761.2,10
4,47.482172,385076.1,11
4,66.32691617,385391.1,12
1,50.93841329,385706,1
1,48.46966951,386433.5,2
1,53.98319728,387161,3
2,51.34987058,387888.5,4
2,50.93841329,388072.4,5
2,51.5144535,388256.2,6
3,50.60924745,388440.1,7
3,50.44466453,388881.6,8
3,50.19779015,389323.2,9
4,51.84361934,389764.7,10
4,48.8811268,391236.7,11
4,66.16233325,392708.8,12
1,52.58424247,394180.8,1
1,48.55196097,395128.2,2
1,54.80611187,396075.7,3
2,53.24257415,397023.1,4
2,53.57173998,398536,5
2,51.18528766,400049,6
3,52.58424247,401561.9,7
3,51.67903642,402696.1,8
3,53.07799123,403830.4,9
4,55.71131792,404964.6,10
4,50.19779015,406195.7,11
4,70.27690621,407426.9,12
1,55.29986063,408658,1
1,50.36237307,409623.5,2
1,56.20506668,410588.9,3
2,55.71131792,411554.4,4
2,55.13527771,412560.5,5
2,54.64152895,413566.5,6
3,55.71131792,414572.6,7
3,54.31236312,415339.7,8
3,55.62902646,416106.8,9
4,57.19256419,416873.9,10
4,53.48944852,418054.2,11
4,72.58106707,419234.4,12
1,53.79551704,420414.7,1
1,49.69585868,422060,2
1,56.59528373,423705.3,3
2,57.8951754,425350.6,4
2,57.09524206,427293.1,5
2,57.49520873,429235.7,6
3,53.49554204,431178.2,7
3,62.29480877,432580.3,8
3,58.29514207,433982.5,9
4,64.19465045,435384.6,10
4,59.39505041,436769.4,11
4,78.69344221,438154.1,12
1,56.49529206,439538.9,1
1,53.69552537,440454.5,2
1,59.79501708,441370,3
2,60.99491709,442285.6,4
2,63.29472544,443471.3,5
2,60.19498375,444657.1,6
3,55.79535039,445842.8,7
3,68.99425048,446715.9,8
3,63.69469211,447588.9,9
4,67.99433381,448462,10
4,67.29439213,448641,11
4,85.89284226,448820.1,12
1,63.29472544,448999.1,1
1,56.69527539,449491.2,2
1,65.49454212,449983.2,3
2,66.59445046,450475.3,4
2,67.79435047,450441.5,5
2,68.59428381,450407.7,6
3,60.89492542,450373.9,7
3,75.39371719,450918.5,8
3,67.79435047,451463,9
4,71.9940005,452007.6,10
4,70.59411716,452738.3,11
4,91.79235064,453469,12
1,65.19456712,454199.7,1
1,59.69502541,454759.7,2
1,67.89434214,455319.8,3
2,68.69427548,455879.8,4
2,70.69410882,455902.7,5
2,69.29422548,455925.5,6
3,64.59461712,455948.4,7
3,79.39338388,456195.7,8
3,69.79418382,456443.1,9
4,76.49362553,456690.4,10
4,73.59386718,456346.1,11
4,92.19231731,456001.9,12
1,69.39421715,455657.6,1
1,62.39480043,456703.6,2
1,70.09415882,457749.5,3
2,72.19398383,458795.5,4
2,71.6940255,459949.4,5
2,69.49420882,461103.2,6
3,65.49454212,462257.1,7
3,80.29330889,463688.9,8
3,72.39396717,465120.7,9
4,79.79335055,466552.5,10
4,71.29405883,467558.5,11
4,95.09207566,468564.6,12
1,72.69394217,469570.6,1
1,63.99466711,470023.4,2
1,72.99391717,470476.2,3
2,74.49379218,470929,4
2,72.5939505,472071.9,5
2,75.69369219,473214.8,6
3,68.19431714,474357.7,7
3,83.49304225,474781.5,8
3,75.39371719,475205.3,9
4,80.59328389,475629.1,10
4,76.2936422,475909.9,11
4,100.4916257,476190.8,12
1,73.09390884,476471.6,1
1,65.39455045,477281.5,2
1,75.59370052,478091.4,3
2,76.49362553,478901.3,4
2,75.49370886,480109.3,5
2,76.79360053,481317.2,6
3,69.29422548,482525.2,7
3,87.09274227,483771.8,8
3,77.39355054,485018.5,9
4,81.69319223,486265.1,10
4,78.49345888,487894.9,11
4,102.6914424,489524.8,12
1,77.29355887,491154.6,1
1,68.29430881,491160.4,2
1,78.19348388,491166.2,3
2,78.69344221,491172,4
2,79.79335055,492507.8,5
2,80.39330056,493843.6,6
3,72.5939505,495179.4,7
3,91.09240897,496379,8
3,79.79335055,497578.6,9
4,83.79301725,498778.2,10
4,80.99325056,500070.9,11
4,104.2913091,501363.5,12
1,80.19331722,502656.2,1
1,70.39413382,503213.6,2
1,81.99316724,503771.1,3
2,81.29322556,504328.5,4
2,80.79326723,504715.6,5
2,84.19298392,505102.7,6
3,75.19373386,505489.8,7
3,95.09207566,506245.9,8
3,82.29314224,507002.1,9
4,89.49254229,507758.2,10
4,86.29280893,506954.1,11
4,108.2909758,506150,12
1,85.7928506,505345.9,1
1,77.4935422,504821.3,2
1,83.09307558,504296.6,3
2,86.29280893,503772,4
2,87.69269228,501432.4,5
2,86.0928256,499092.8,6
3,79.69335889,496753.2,7
3,98.49179235,494001.1,8
3,86.59278393,491248.9,9
4,91.8923423,488496.8,10
4,85.19290059,488320.6,11
4,110.0908258,488144.5,12
1,85.89284226,487968.3,1
1,73.39388384,488224,2
1,81.29322556,488479.7,3
2,85.09290892,488735.4,4
2,83.29305891,489927.9,5
2,85.89284226,491120.5,6
3,77.59353387,492313,7
3,96.09199233,492939.4,8
3,85.59286726,493565.7,9
4,91.99233397,494192.1,10
4,84.79293392,495032.3,11
4,112.0906591,495872.4,12
1,84.59295059,496712.6,1
1,75.99366719,497680.3,2
1,86.49279227,498648.1,3
2,88.79260062,499615.8,4
2,86.6927756,500788,5
2,88.49262561,501960.3,6
3,81.99316724,503132.5,7
3,101.3915507,504870.2,8
3,89.79251729,506607.9,9
4,93.99216732,508345.6,10
4,90.19248396,508410.7,11
4,117.0902425,508475.7,12
1,88.99258395,508540.8,1
1,80.8932589,509027.1,2
1,91.69235897,509513.3,3
2,94.49212566,509999.6,4
2,92.99225065,510402.8,5
2,93.09224231,510806,6
3,84.19298392,511209.2,7
3,106.7911007,511401.5,8
3,94.39213399,511593.7,9
4,97.89184235,511786,10
4,94.29214232,511455.9,11
4,122.4897925,511125.8,12
1,93.69219232,510795.7,1
1,86.19281727,511125.1,2
1,96.491959,511454.6,3
2,93.49220898,511784,4
2,95.19206733,511662.3,5
2,98.39180068,511540.6,6
3,85.7928506,511418.9,7
3,110.6907758,511376.7,8
3,95.79201733,511334.5,9
4,101.3915507,511292.3,10
4,97.29189234,512444.9,11
