1,-0.59362,7.19563,1.344615385
2,-0.5698,9.17096,1.495384615
3,-0.23597,10.03207,1.925384615
4,0.37374,9.34571,2.35
1,0.24882,6.45721,2.481538462
2,1.04647,5.80691,2.686153846
3,2.01668,4.87424,2.798461538
4,2.58161,5.34693,2.928461538
1,3.41276,6.82962,2.935384615
2,3.61238,5.83283,2.997692308
3,3.46553,6.27207,3.205384615
4,3.0853,3.1275,3.283076923
1,3.45614,-0.47661,2.009230769
2,3.27225,-0.00996,0.946923077
3,2.2998,1.32453,1.235384615
4,1.91315,5.19959,2.146428571
1,0.89317,9.15216,2.550833333
2,0.39175,10.73673,3.048461538
3,0.96841,8.06704,3.562857143
4,1.47414,5.81417,3.990769231
1,1.39112,6.33277,3.93
2,1.82486,3.52567,3.7
3,1.35876,3.91784,2.942307692
4,1.39598,2.19391,2.288461538
1,1.50811,0.43675,2.016153846
2,0.8679,2.67336,1.750769231
3,1.20536,4.04323,1.668461538
4,0.70517,7.48153,2.371538462
1,0.89366,8.98961,2.453076923
2,1.30741,8.06793,2.606153846
3,1.20214,7.28653,2.845384615
4,1.30043,5.45424,2.913076923
1,1.22896,4.6563,2.966153846
2,1.03684,4.89468,2.963846154
3,1.36384,5.81534,3.301538462
4,1.39346,6.80375,3.453076923
1,1.48748,7.74524,3.461538462
2,1.46288,7.76845,3.487692308
3,1.07422,7.38419,3.458571429
4,1.2661,6.63381,3.569230769
1,1.16392,7.16131,3.976923077
2,1.64622,7.59083,4.077692308
3,1.71766,8.27882,4.075384615
4,1.78457,10.68923,4.159230769
1,2.41824,10.85889,4.556923077
2,2.68868,10.24253,4.904615385
3,3.27177,9.3838,5.403076923
4,3.56955,7.96067,5.571538462
1,2.87081,6.08696,4.84
2,2.56675,5.46622,4.01
3,2.70823,5.56282,3.89
4,2.99037,5.77666,4.143846154
1,3.74115,7.72558,4.757692308
2,4.1206,10.0545,5.966153846
3,4.47761,9.89236,5.939230769
4,4.62598,9.82382,5.890769231
1,4.87329,9.23149,6.536153846
2,5.50193,7.99235,8.167692308
3,5.52381,8.32235,9.002307692
4,5.83255,7.24327,8.962857143
1,6.22677,5.82511,8.603333333
2,6.03843,5.78333,7.923076923
3,5.68592,5.44713,6.742142857
4,5.6,4.86068,5.594615385
1,4.8119,7.98668,3.852307692
2,4.31406,8.32847,4.563846154
3,4.26985,8.43564,5.475384615
4,3.53535,9.3412,4.776923077
1,3.50584,8.4088,3.537692308
2,3.22581,9.52182,4.291538462
3,3.0303,9.58592,4.730769231
4,3.33333,11.64474,5.118461538
1,4.1129,11.93564,6.466153846
2,5.60897,11.6489,7.767692308
3,6.83625,11.10149,10.48923077
4,8.41857,11.09072,10.03923077
1,9.91479,8.25552,9.335384615
2,10.54628,8.21629,11.10538462
3,11.45833,8.80072,12.20384615
4,12.04644,8.35812,9.535384615
1,11.1346,8.37622,6.449230769
2,9.54015,7.9603,5.374615385
3,8.67824,9.60202,6.155384615
4,7.38342,10.13653,5.470714286
1,6.34115,12.64581,4.826923077
2,6.01504,12.13661,5.196153846
3,5.58968,10.33664,5.283076923
4,5.18697,9.78766,4.886923077
1,5.9034,9.23714,4.656153846
2,6.79669,10.99031,5.148461538
3,6.57359,12.29302,5.8
4,6.59404,11.89062,6.504615385
1,6.47523,10.76671,6.752307692
2,7.02822,13.41129,7.259230769
3,8.02402,13.05563,8.067692308
4,8.92953,14.44732,9.500769231
1,9.78318,14.70201,10.10692308
2,10.75491,11.13443,10.16615385
3,11.72309,11.37812,10.87692308
4,12.64198,9.96928,13.49692308
1,14.21002,10.41839,14.75153846
2,14.42577,7.95389,13.22538462
3,12.93532,7.08204,9.64
4,12.53836,9.60665,15.63428571
1,11.26107,11.98505,16.70916667
2,9.87352,13.05449,17.55923077
3,10.85302,14.14768,17.64785714
4,9.58317,9.88965,13.59384615
1,7.5815,4.80429,14.19615385
2,6.9068,5.35773,14.51384615
3,5.81647,3.24212,11
4,4.44365,3.71075,9.277692308
1,3.59408,6.08102,8.685384615
2,3.29976,7.40931,8.811538462
3,2.52646,9.59079,9.45
4,3.23349,11.525,9.421538462
1,4.62585,12.51337,9.687692308
2,4.40484,12.03608,10.53461538
3,4.2957,10.70891,11.38230769
4,4.1543,9.3247,9.382307692
1,3.64109,8.24231,8.474615385
2,3.60709,7.11507,7.956153846
3,3.35249,7.40706,7.888461538
4,3.51377,7.12401,8.053846154
1,3.1054,6.56537,7.923076923
2,1.67858,5.83142,6.937692308
3,1.66821,5.0355,6.261538462
4,1.34557,4.80487,6.256428571
1,2.03833,4.75304,6.224166667
2,3.69917,5.73818,6.616923077
3,4.16287,6.00924,6.830714286
4,4.40555,7.52244,6.919230769
1,3.96541,7.43762,6.666923077
2,3.97995,7.98717,7.139230769
3,4.14236,8.15386,7.974615385
4,4.30636,7.8178,8.441538462
1,4.67451,8.63097,9.431538462
2,5.16019,8.13919,9.730769231
3,4.70588,7.80888,9.092307692
4,4.62732,6.43999,8.646153846
1,5.23288,6.55836,8.249230769
2,4.58345,6.19274,8.238461538
3,5.56447,5.61423,8.170769231
4,6.27648,4.48034,7.778461538
1,5.25905,2.76665,6.515384615
2,4.84661,2.79922,5.826153846
3,3.852,3.17236,5.701538462
4,2.96536,4.3267,4.887692308
1,2.89389,5.43354,4.041538462
2,3.07352,5.613,3.779230769
3,3.07467,5.81224,3.295714286
4,3.12197,6.64475,3.038461538
1,3.17308,5.75752,3.038461538
2,3.125,5.22622,2.997692308
3,2.81723,4.80393,3.047692308
4,2.7693,4.98346,3.002307692
1,2.53961,5.73884,3.19
2,2.3826,6.4326,3.917692308
3,2.85517,6.52384,4.489230769
4,2.60333,6.2955,5.169230769
1,2.84026,5.71468,5.771538462
2,3.09535,4.60976,6.024615385
3,2.66398,4.80216,5.790769231
4,2.62631,4.25601,5.767692308
1,2.78392,4.60204,5.356153846
2,2.82709,5.96021,5.252307692
3,2.90013,5.83464,5.290769231
4,3.2314,6.26799,5.291538462
1,2.94497,6.2806,5.242307692
2,2.30179,6.04998,5.526923077
3,2.22505,6.53534,5.546923077
4,1.89076,6.12772,5.511428571
1,1.48256,6.0247,5.516666667
2,1.58333,5.29268,5.482307692
3,1.59619,5.29012,5.548571429
4,1.52577,6.02429,4.87
1,1.68724,6.21198,4.726153846
2,2.11239,6.1814,4.747692308
3,2.34646,6.14793,5.090769231
4,2.61982,6.51375,5.324615385
